vendor,service_name,UPPER(sku),os_type,currency,billing_type,unit_price,reservation_term,azure_region
Azure,Virtual Machines,D15_V2,Windows,CNY,ANNUAL,55192.8,1,CN EAST 2
Azure,Virtual Machines,D15_V2,Windows,CNY,ANNUAL,55192.8,1,CN NORTH 2
Azure,Virtual Machines,D15I_V2,Linux,CNY,ANNUAL,142983.6729,,CN EAST 2
Azure,Virtual Machines,D15I_V2,Linux,CNY,ANNUAL,142983.6729,,CN NORTH 2
Azure,Virtual Machines,D15I_V2,Windows,CNY,ANNUAL,155388.1848,,CN EAST 2
Azure,Virtual Machines,D15I_V2,Windows,CNY,ANNUAL,155388.1848,,CN NORTH 2
Azure,Virtual Machines,D16_V3,Linux,CNY,ANNUAL,47510.7444,,CN EAST 2
Azure,Virtual Machines,D16_V3,Linux,CNY,ANNUAL,47510.7444,,CN NORTH 2
Azure,Virtual Machines,D16_V3,Linux,CNY,ANNUAL,14025.96,1,CN EAST 2
Azure,Virtual Machines,D16_V3,Linux,CNY,ANNUAL,14025.96,1,CN NORTH 2
Azure,Virtual Machines,D16_V3,Windows,CNY,ANNUAL,83275.29,,CN EAST 2
Azure,Virtual Machines,D16_V3,Windows,CNY,ANNUAL,83275.29,,CN NORTH 2
Azure,Virtual Machines,D16_V3,Windows,CNY,ANNUAL,42448.2,1,CN EAST 2
Azure,Virtual Machines,D16_V3,Windows,CNY,ANNUAL,42448.2,1,CN NORTH 2
Azure,Virtual Machines,D16_V4,Linux,CNY,ANNUAL,47519.51022,,CN EAST 2
Azure,Virtual Machines,D16_V4,Linux,CNY,ANNUAL,47519.51022,,CN NORTH 2
Azure,Virtual Machines,D16_V4,Linux,CNY,ANNUAL,13761.996,1,CN EAST 2
Azure,Virtual Machines,D16_V4,Linux,CNY,ANNUAL,13761.996,1,CN NORTH 2
Azure,Virtual Machines,D16_V4,Linux,CNY,ANNUAL,7929.336,3,CN EAST 2
Azure,Virtual Machines,D16_V4,Linux,CNY,ANNUAL,7929.336,3,CN NORTH 2
Azure,Virtual Machines,D16_V4,Windows,CNY,ANNUAL,91690.4772,,CN EAST 2
Azure,Virtual Machines,D16_V4,Windows,CNY,ANNUAL,91690.4772,,CN NORTH 2
Azure,Virtual Machines,D16_V4,Windows,CNY,ANNUAL,57900.9996,1,CN EAST 2
Azure,Virtual Machines,D16_V4,Windows,CNY,ANNUAL,57900.9996,1,CN NORTH 2
Azure,Virtual Machines,D16_V4,Windows,CNY,ANNUAL,52068,3,CN EAST 2
Azure,Virtual Machines,D16_V4,Windows,CNY,ANNUAL,52068,3,CN NORTH 2
Azure,Virtual Machines,D16D_V4,Linux,CNY,ANNUAL,58099.85496,,CN EAST 2
Azure,Virtual Machines,D16D_V4,Linux,CNY,ANNUAL,58099.85496,,CN NORTH 2
Azure,Virtual Machines,D16D_V4,Linux,CNY,ANNUAL,17883.996,1,CN EAST 2
Azure,Virtual Machines,D16D_V4,Linux,CNY,ANNUAL,17883.996,1,CN NORTH 2
Azure,Virtual Machines,D16D_V4,Linux,CNY,ANNUAL,10162.668,3,CN EAST 2
Azure,Virtual Machines,D16D_V4,Linux,CNY,ANNUAL,10162.668,3,CN NORTH 2
Azure,Virtual Machines,D16D_V4,Windows,CNY,ANNUAL,94320.2232,,CN EAST 2
Azure,Virtual Machines,D16D_V4,Windows,CNY,ANNUAL,94320.2232,,CN NORTH 2
Azure,Virtual Machines,D16D_V4,Windows,CNY,ANNUAL,62023.0008,1,CN EAST 2
Azure,Virtual Machines,D16D_V4,Windows,CNY,ANNUAL,62023.0008,1,CN NORTH 2
